,station_code,lat,lon,elevation,state,name,gsn_flag,hcn_flag,wmo_id,method,zip_code,city
0,AQW00061705,-14.3306,-170.7136,3.7,AS,PAGO PAGO WSO AP,GSN,,91765.0,,,
1,USC00244558,48.3042,-114.2636,901.3,MT,KALISPELL GLACIER AP,,HCN,72779.0,,59901.0,Kalispell
2,USW00003103,35.1442,-111.6664,2134.5,AZ,FLAGSTAFF PULLIAM AP,,,72375.0,,86001.0,Flagstaff
3,USW00003162,36.9261,-111.4478,1313.7,AZ,PAGE MUNI AP,,,72371.0,,86040.0,Page
4,USW00003822,32.13,-81.21,14.0,GA,SAVANNAH INTL AP,,HCN,72207.0,,31408.0,Savannah
5,USW00003870,34.8831,-82.2203,286.5,SC,GREER,GSN,HCN,72312.0,,29650.0,Greer
6,USW00003919,38.8,-97.65,386.8,KS,SALINA MUNI AP,,,,,67401.0,Salina
7,USW00003927,32.8978,-97.0189,170.7,TX,DALLAS FT WORTH AP,,,72259.0,,75261.0,Dallas
8,USW00003928,37.6544,-97.4425,406.9,KS,WICHITA,,,72450.0,,67209.0,Wichita
9,USW00003935,37.2253,-89.5706,102.4,MO,CAPE GIRARDEAU MUNI AP,,,72329.0,,63740.0,Chaffee
10,USW00003937,30.125,-93.2158,4.0,LA,LAKE CHARLES,,,72240.0,,70607.0,Lake Charles
11,USW00003945,38.8169,-92.2183,272.2,MO,COLUMBIA RGNL AP,GSN,,72445.0,,65201.0,Columbia
12,USW00003947,39.2972,-94.7306,306.3,MO,KANSAS CITY INTL AP,,,72446.0,,64153.0,Kansas City
13,USW00004724,43.1072,-78.9453,178.3,NY,NIAGARA FALLS INTL AP,,,,,14304.0,Niagara Falls
14,USW00004725,42.1997,-75.985,489.5,NY,BINGHAMTON,,HCN,72515.0,,13790.0,Johnson City
15,USW00004743,43.0833,-70.8167,39.0,NH,PORTSMOUTH PEASE AFB,,,,,3801.0,Portsmouth
16,USW00004781,40.7939,-73.1017,25.6,NY,ISLIP LI MACARTHUR AP,,,72505.0,,11779.0,Ronkonkoma
17,USW00004787,41.1783,-78.8989,552.9,PA,DUBOIS JEFFERSON CO AP,,,,,15851.0,Reynoldsville
18,USW00012810,27.85,-82.5167,7.9,FL,MACDILL AFB,,,74788.0,,33616.0,Tampa
19,USW00012815,28.4339,-81.325,27.4,FL,ORLANDO INTL AP,,,72205.0,,32827.0,Orlando
20,USW00012816,29.6919,-82.2756,37.5,FL,GAINESVILLE RGNL AP,,,74756.0,,32609.0,Gainesville
21,USW00012834,29.1828,-81.0483,9.4,FL,DAYTONA BEACH INTL AP,,,74787.0,,32114.0,Daytona Beach
22,USW00012835,26.585,-81.8614,4.6,FL,FT MYERS PAGE FLD AP,,HCN,,,33966.0,Fort Myers
23,USW00012836,24.555,-81.7522,1.2,FL,KEY WEST INTL AP,GSN,HCN,72201.0,,33040.0,Key West
24,USW00012843,27.6531,-80.2428,8.5,FL,VERO BEACH INTL AP,,,74793.0,,32960.0,Vero Beach
25,USW00012844,26.6847,-80.0994,5.8,FL,WEST PALM BEACH INTL AP,,,72203.0,,33406.0,West Palm Beach
26,USW00012888,25.6475,-80.4331,3.0,FL,MIAMI KENDALL TAMIAMI EXEC AP,,,,,33196.0,Miami
27,USW00012906,29.6167,-95.1667,11.9,TX,HOUSTON ELLINGTON AFB,,,,,77034.0,Houston
28,USW00012919,25.9156,-97.4186,7.0,TX,BROWNSVILLE,,,72250.0,,78521.0,Brownsville
29,USW00012926,27.6833,-97.2833,5.5,TX,CORPUS CHRISTI NAS,,,,,78418.0,Corpus Christi
30,USW00013707,39.1333,-75.4667,7.0,DE,DOVER AFB,,,,,19901.0,Dover
31,USW00013722,35.8922,-78.7819,126.8,NC,RALEIGH DURHAM INTL AP,GSN,,72306.0,,27617.0,Raleigh
32,USW00013736,39.6428,-79.9164,378.0,WV,MORGANTOWN HART FLD,,,,,26505.0,Morgantown
33,USW00013737,36.9033,-76.1922,9.1,VA,NORFOLK INTL AP,,HCN,72308.0,,23455.0,Virginia Beach
